Arsenal FC,https://upload.wikimedia.org/wikipedia/en/5/53/Arsenal_FC.svg
Tottenham Hotspur FC,https://upload.wikimedia.org/wikipedia/en/b/b4/Tottenham_Hotspur.svg
Manchester City FC,https://upload.wikimedia.org/wikipedia/en/e/eb/Manchester_City_FC_badge.svg
Leicester City FC,https://upload.wikimedia.org/wikipedia/en/2/2d/Leicester_City_crest.svg
Crystal Palace FC,https://www.clipartmax.com/png/small/327-3279028_free-crystal-palace-f-c-logo-png-transparent-images-logo-png-crystal.png
Everton FC,https://upload.wikimedia.org/wikipedia/en/7/7c/Everton_FC_logo.svg
Burnley FC,https://logowik.com/content/uploads/images/701_burnley_football_club.jpg
Southampton FC,https://upload.wikimedia.org/wikipedia/en/c/c9/FC_Southampton.svg
AFC Bournemouth,https://www.clipartmax.com/png/small/346-3464722_concussion-treatment-a-f-c-bournemouth.png
Manchester United FC,https://upload.wikimedia.org/wikipedia/en/7/7a/Manchester_United_FC_crest.svg
Liverpool FC,https://upload.wikimedia.org/wikipedia/en/0/0c/Liverpool_FC.svg
Chelsea FC,https://upload.wikimedia.org/wikipedia/en/c/cc/Chelsea_FC.svg
West Ham United FC,https://upload.wikimedia.org/wikipedia/en/c/c2/West_Ham_United_FC_logo.svg
Watford FC,https://upload.wikimedia.org/wikipedia/en/e/e2/Watford.svg
Newcastle United FC,https://upload.wikimedia.org/wikipedia/en/5/56/Newcastle_United_Logo.svg
Cardiff City FC,https://upload.wikimedia.org/wikipedia/en/3/3c/Cardiff_City_crest.svg
Fulham FC,https://upload.wikimedia.org/wikipedia/en/e/eb/Fulham_FC_%28shield%29.svg
Brighton & Hove Albion FC,https://upload.wikimedia.org/wikipedia/en/f/fd/Brighton_%26_Hove_Albion_logo.svg
Huddersfield Town FC,https://www.clipartmax.com/png/small/262-2620581_crystal-palace-fc-clipart-cloud-huddersfield-town-badge-png.png
Wolverhampton Wanderers FC,https://upload.wikimedia.org/wikipedia/en/f/fc/Wolverhampton_Wanderers.svg
